Region,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
Africa,24,22.7,21.5,20.3,19,17.6,16.2,14.9,13.7,12.5,11.4,10.2,9.2,8.1,7.1,6.2
Asia,8,6.6,5.3,4,2.9,1.8,0.9,0,-0.8,-1.4,-2,-2.4,-2.7,-2.9,-3.1,-3.3
Eritrea,21.9,21.5,21,19.9,18.2,16.4,14.8,13.6,12.4,11.1,9.7,8.4,7.2,6.2,5.2,4.3
Ethiopia,24.3,22.2,20.1,18.2,16.6,15,13.4,11.9,10.4,8.9,7.5,6.2,5,3.9,3,2.1
Kenya,22,20.6,19,17,15.1,13.4,12,10.6,9.2,7.8,6.6,5.4,4.4,3.4,2.6,1.8
Madagascar,25.9,24.6,22.9,21.5,20.1,18.9,17.7,16.4,15.1,13.9,12.7,11.6,10.5,9.4,8.4,7.5
Malawi,26.9,25.9,24.2,22.4,20.7,19,17.5,16,14.5,13.1,11.6,10.3,9,7.8,6.7,5.7
Mauritius,0.8,-0.4,-1.6,-3,-4.4,-5.4,-5.9,-6.1,-6.4,-6.7,-7.2,-7.8,-8.1,-8.3,-8,-7.4
Mayotte,23.5,22.2,21,19.3,17.5,15.6,13.9,12.4,11.1,9.8,8.6,7.5,6.3,5.2,4.1,3.1
Mozambique,28.3,27.1,25.6,24,22.3,20.6,19,17.5,16,14.6,13.2,11.9,10.6,9.4,8.3,7.3
Réunion,7.7,7,6.1,4.8,3.5,2.3,1.5,1,0.8,0.8,0.8,0.6,0.2,-0.4,-1.1,-1.7
Rwanda,24.3,22.1,20.3,18.7,17.2,15.6,14,12.3,10.7,9.2,7.9,6.7,5.6,4.6,3.5,2.6
Seychelles,7,5.8,5,4.2,3.1,2,1,0.5,0.3,0.3,0.3,0.3,0.1,-0.3,-0.7,-1.2
Somalia,30.9,30.2,28.7,26.7,25,23.7,22.5,21,19.4,17.8,16.3,15,13.7,12.5,11.2,10
South Sudan,23.5,22.1,20.8,19.3,17.9,16.5,15.1,13.8,12.5,11.2,9.9,8.7,7.5,6.3,5.3,4.4
Uganda,29.1,26.6,24.2,21.8,19.7,17.7,15.8,14.1,12.3,10.7,9.2,7.7,6.4,5.1,3.9,2.9
United Republic of Tanzania,29.2,28.2,27,25.6,24.2,22.9,21.4,20.2,18.9,17.7,16.5,15.3,14.2,13.1,12,11
Zambia,28.8,27.7,26.3,24.7,23.1,21.5,20.1,18.8,17.6,16.3,15.1,14,12.9,11.9,10.8,9.9
Zimbabwe,20.3,19.1,18.2,16.9,15.1,13.1,11.2,9.7,8.4,7.2,6,4.7,3.4,2.3,1.4,0.7
Middle Africa,28.9,27.6,26.2,24.6,22.9,21.2,19.6,18.1,16.6,15.2,13.9,12.6,11.2,10,8.9,7.8
Angola,31.5,30.5,29.4,28,26.6,25.1,23.6,22.2,20.9,19.5,18.3,17,15.7,14.6,13.5,12.4
Cameroon,24.8,23.6,22.3,21,19.6,18.3,16.9,15.6,14.3,13.2,12,10.9,9.9,8.9,7.9,7
Central African Republic,23.3,22.8,21.1,18.8,16.7,15,13.5,12,10.5,8.9,7.3,5.8,4.5,3.3,2.3,1.4
Chad,28.7,27,25.2,23.4,21.7,20,18.4,16.8,15.3,13.9,12.5,11.1,9.8,8.5,7.3,6.2
Congo,24.8,23.9,23,21.9,20.6,19.2,18,16.9,16,15,14.1,13,12,10.9,9.9,9.1
Democratic Republic of the Congo,30.1,28.5,27,25.2,23.3,21.3,19.5,17.8,16.1,14.6,13.1,11.6,10,8.6,7.3,6.2
Equatorial Guinea,22,19.8,18.3,17.3,16.1,14.6,12.9,11.3,9.8,8.6,7.7,6.9,6.1,5.2,4.1,3.1
Gabon,21.8,19.2,17.6,16.5,15.7,14.6,13.2,11.7,10.3,9.4,8.7,8,7.2,6.3,5.3,4.3
Sao Tome and Principe,26,25.6,24.4,22.6,21,19.5,18.2,16.8,15.7,14.6,13.5,12.4,11.2,10.1,9.1,8.1
Southern Africa,10.3,9,8.1,7.2,6.1,5.1,3.9,2.8,1.9,1.2,0.6,0.2,-0.2,-0.7,-1.2,-1.6
Botswana,16.3,14.3,12.9,11.6,10.2,8.6,7.1,5.7,4.5,3.6,2.7,2,1.3,0.6,0,-0.6
Eswatini,15.8,15.4,14.6,13.1,11.3,9.6,8.2,6.8,5.4,4,2.8,1.7,0.8,0,-0.7,-1.3
Lesotho,12,11.3,10.7,10.3,9.8,9.1,8.2,7.3,6.3,5.3,4.5,3.7,3,2.3,1.6,0.9
Namibia,19.1,17.6,16.4,15.2,14,12.7,11.3,9.9,8.6,7.5,6.5,5.6,4.7,3.8,3,2.3
South Africa,9.5,8.2,7.2,6.3,5.3,4.2,3.1,2,1.1,0.4,-0.1,-0.5,-0.8,-1.2,-1.7,-2.1
Western Africa,26,25,23.9,22.6,21.2,19.8,18.4,17,15.6,14.3,13.1,11.8,10.6,9.4,8.3,7.2
Benin,26.3,25.2,24,22.7,21.3,19.9,18.6,17.4,16.2,15,13.8,12.6,11.5,10.5,9.5,8.5
Burkina Faso,28.7,27.5,26.1,24.5,22.8,21.1,19.4,17.9,16.5,15.1,13.8,12.4,11.1,9.9,8.8,7.7
Cabo Verde,12.4,10.8,9.4,7.8,6.3,4.8,3.4,2.2,1.1,0,-0.9,-1.5,-1.9,-2.3,-2.7,-3.1
Côte d'Ivoire,25,23.9,22.6,21.4,20.2,19,17.8,16.5,15.3,14.1,13,11.9,10.9,9.8,8.8,7.9
Gambia,29.1,27,24.7,22.7,20.8,19,17.1,15.4,13.7,12.1,10.6,9.3,8.1,6.9,5.7,4.6
Ghana,20.7,19.3,18,16.7,15.6,14.4,13.2,12,10.9,9.9,8.9,7.9,7,6,5.2,4.3
Guinea,26.9,25.5,23.8,22.1,20.4,18.9,17.4,15.9,14.4,12.9,11.5,10.2,9,7.9,6.9,5.9
Guinea-Bissau,23.8,22.2,20.8,19.5,18.3,16.9,15.4,14,12.7,11.4,10.2,9,7.9,6.8,5.8,4.8
Liberia,24.5,23.4,22,20.5,19,17.5,16.1,14.8,13.6,12.3,11,9.8,8.6,7.5,6.4,5.5
Mali,30.9,29.8,28.1,26.2,24,21.9,20,18.2,16.5,14.9,13.2,11.7,10.2,8.7,7.4,6.2
Mauritania,24.9,23.4,22,20.8,19.6,18.4,17.2,15.9,14.8,13.8,12.8,11.9,11,10,9.2,8.3
Niger,36.9,35.7,34.3,32.6,30.6,28.6,26.6,24.5,22.6,20.8,19,17.2,15.6,14.1,12.6,11.2
Nigeria,25,24.1,23.2,22,20.7,19.3,17.9,16.5,15.2,14,12.7,11.4,10.2,8.9,7.8,6.8
Senegal,27,25.5,24.3,23,21.6,20.1,18.6,17.3,16,14.8,13.7,12.6,11.5,10.4,9.4,8.4
Sierra Leone,20.2,18.7,17.3,15.8,14.3,12.8,11.3,9.8,8.4,7,5.6,4.4,3.2,2.1,1.1,0.3
Togo,23.7,22.8,21.8,20.5,19,17.6,16.4,15.2,14,12.9,11.7,10.6,9.5,8.4,7.4,6.5
NORTHERN AFRICA AND WESTERN ASIA,15.4,13.7,12.5,11.5,10.4,9.2,7.9,6.8,5.7,4.8,4,3.4,2.9,2.4,1.8,1.2
Northern Africa,17.2,15.3,14.2,13.5,12.6,11.5,10.3,9.2,8.2,7.3,6.5,5.8,5.1,4.5,3.8,3
Algeria,15.7,12.4,10.5,9.9,9.6,8.9,7.5,5.8,4.3,3.3,2.8,2.5,2.3,1.9,1.2,0.4
Egypt,18,16.1,15.4,15,14,12.6,11.2,10.1,9.1,8.2,7.3,6.4,5.6,4.8,4,3.1
Libya,11.5,9.4,7.8,6.6,5.5,4,2.4,0.8,-0.3,-0.9,-1.1,-1.2,-1.5,-1.9,-2.5,-3
Morocco,12.2,10.5,9.1,7.8,6.6,5.4,4.4,3.4,2.4,1.5,0.6,-0.1,-0.7,-1.1,-1.6,-2.1
Sudan,23.9,22.8,21.5,20.1,18.7,17.3,16.1,15,13.9,12.9,11.7,10.6,9.6,8.6,7.8,7
Tunisia,9.1,6.9,5.4,4.6,4,3.3,2.3,1.1,0,-0.7,-1.1,-1.3,-1.4,-1.6,-2,-2.5
Western Sahara,13.3,10.9,8.7,6.9,5.5,4.3,2.9,1.5,0.3,-0.6,-1.1,-1.3,-1.4,-1.6,-2,-2.5
Western Asia,13.9,12.2,10.8,9.5,8.3,6.9,5.6,4.3,3.1,2.1,1.3,0.7,0.3,-0.1,-0.5,-1
Channel Islands,1.6,0.5,-0.8,-2.1,-3.2,-4.1,-5.1,-6,-6.6,-6.8,-6.7,-6.5,-6.4,-6.1,-5.8,-5.5
Denmark,0.9,0.3,-0.7,-1.7,-2.3,-2.5,-2.6,-2.6,-2.6,-2.7,-2.7,-2.9,-3.2,-3.4,-3.2,-3
Estonia,-2.2,-3.2,-3.8,-3.8,-3.6,-3.8,-4.2,-4.6,-5,-5.3,-5.3,-4.9,-4.4,-3.8,-3.3,-3.4
Finland,-1.6,-2.5,-3.4,-4.2,-4.8,-5.2,-5.5,-5.6,-5.5,-5.5,-5.8,-6.2,-6.5,-6.6,-6.4,-6.1
Iceland,4.6,3.6,2.5,1.4,0.3,-0.7,-1.5,-2,-2.4,-2.8,-3.2,-3.7,-4.2,-4.4,-4.4,-4.4
Ireland,4.7,3.1,2.3,1.8,1.3,0.3,-1.1,-2.5,-3.5,-4,-3.8,-3.3,-2.8,-2.9,-3.5,-4.3
Latvia,-4.8,-5.8,-6.3,-6,-5.4,-4.9,-4.7,-4.9,-5,-4.8,-4.3,-3.6,-3.1,-2.8,-2.7,-2.8
Lithuania,-4.2,-5,-5.8,-6,-5.5,-5,-5,-5.1,-5.1,-4.8,-4.4,-3.7,-3.2,-3.1,-3.1,-3.1
Norway,3,2.2,1,-0.2,-1,-1.7,-2.3,-2.9,-3.3,-3.6,-3.7,-4,-4.2,-4.2,-4,-3.7
Sweden,2.5,1.3,-0.1,-0.7,-0.8,-0.8,-1.2,-1.8,-2.2,-2.4,-2.4,-2.5,-2.7,-2.6,-2.1,-2
United Kingdom,1.7,0.8,0,-0.6,-1,-1.5,-2.1,-2.8,-3.1,-3.2,-3.3,-3.5,-3.5,-3.4,-3.2,-3.1
Southern Europe,-3.1,-3.8,-4.4,-5,-5.7,-6.7,-7.9,-9,-9.7,-9.7,-9.1,-8.2,-7.4,-7,-6.9,-6.9
Albania,2.5,0.8,-0.9,-2.3,-3.3,-3.9,-4.3,-4.5,-4.9,-5.5,-6.6,-7.9,-8.9,-9.2,-8.9,-8.2
Bosnia and Herzegovina,-4.1,-5.2,-6.1,-6.9,-7.8,-8.6,-9.2,-9.3,-9.3,-9.3,-9.4,-9.6,-9.7,-9.6,-9.3,-8.8
Croatia,-5,-5.3,-5.7,-6.1,-6.5,-6.8,-7.1,-7.4,-7.5,-7.7,-7.7,-7.4,-7.1,-6.8,-6.6,-6.3
Greece,-4.4,-5.1,-5.2,-5.4,-6.1,-7.2,-8.6,-9.7,-10.4,-10.5,-10,-9.2,-8.4,-7.9,-8,-8
Italy,-4,-4.7,-5.3,-5.8,-6.7,-7.8,-9.2,-10.4,-10.9,-10.5,-9.6,-8.7,-8.2,-8,-7.9,-7.8
Canada,1.8,0.6,-1,-2.5,-3.6,-4.4,-5,-5.3,-5.5,-5.9,-6.4,-6.9,-7,-6.8,-6.2,-5.5
United States of America,2.7,2,1.3,0.3,-0.6,-1.2,-1.5,-1.6,-1.7,-1.9,-2.3,-2.7,-3,-3.1,-3,-2.9
